cod_ibge,ano,pib_per_capita
2100055,2023,40114.14
2100105,2023,17184.43
2100154,2023,10768.08
2100204,2023,9219.73
2100303,2023,14396.88
2100402,2023,13702.92
2100436,2023,15731.63
2100477,2023,12063.08
2100501,2023,51649.06
2100550,2023,13253.23
2100600,2023,13503.63
2100709,2023,10087.62
2100808,2023,13979.02
2100832,2023,9710.44
2100873,2023,11442.19
2100907,2023,8996.31
2100956,2023,12565.09
2101004,2023,14342.85
2101103,2023,10019.58
2101202,2023,18444.22
2101251,2023,27480.01
2101301,2023,9598.72
2101350,2023,9927.23
2101400,2023,73990.57
2101509,2023,16324.78
2101608,2023,13698.13
2101707,2023,12453.14
2101731,2023,11922.31
2101772,2023,11354.34
2101806,2023,17270.78
2101905,2023,8485.16
2101939,2023,47280.47
2101970,2023,12320.09
2102002,2023,17253.80
2102036,2023,15971.39
2102077,2023,12205.69
2102101,2023,12498.20
2102150,2023,9773.15
2102200,2023,11201.96
2102309,2023,13775.43
2102325,2023,18169.31
2102358,2023,12116.72
2102374,2023,8738.44
2102408,2023,8079.74
2102507,2023,9450.60
2102556,2023,24653.05
2102606,2023,10261.18
2102705,2023,9598.52
2102754,2023,18969.01
2102804,2023,24753.29
2102903,2023,10167.80
2103000,2023,17175.06
2103109,2023,8440.92
2103125,2023,9748.27
2103158,2023,11142.47
2103174,2023,14545.42
2103208,2023,13890.13
2103257,2023,18817.35
2103307,2023,15821.78
2103406,2023,11671.50
2103505,2023,18102.24
2103554,2023,10710.68
2103604,2023,10702.15
2103703,2023,10872.19
2103752,2023,15139.67
2103802,2023,13647.15
2103901,2023,10637.54
2104008,2023,11078.38
2104057,2023,35904.33
2104073,2023,16523.71
2104081,2023,14693.35
2104099,2023,14506.91
2104107,2023,28041.79
2104206,2023,12624.11
2104305,2023,83956.96
2104404,2023,10872.93
2104503,2023,12026.90
2104552,2023,24333.68
2104602,2023,14011.08
2104628,2023,15334.15
2104651,2023,11225.06
2104677,2023,14041.96
2104701,2023,11105.13
2104800,2023,19161.36
2104909,2023,10133.25
2105005,2023,9393.62
2105104,2023,8547.25
2105153,2023,33268.01
2105203,2023,13502.48
2105302,2023,34695.92
2105351,2023,9841.55
2105401,2023,14724.16
2105427,2023,30538.53
2105450,2023,11171.22
2105476,2023,10197.08
2105500,2023,14678.53
2105609,2023,9365.69
2105658,2023,13892.46
2105708,2023,13988.88
2105807,2023,11389.04
2105906,2023,11470.32
2105922,2023,20010.09
2105948,2023,11909.24
2105963,2023,11286.55
2105989,2023,17394.42
2106003,2023,21051.33
2106102,2023,33711.07
2106201,2023,10158.85
2106300,2023,13150.33
2106326,2023,13014.63
2106359,2023,16511.08
2106375,2023,10657.96
2106409,2023,13241.83
2106508,2023,10553.40
2106607,2023,10393.53
2106631,2023,7722.89
2106672,2023,10661.89
2106706,2023,18538.13
2106755,2023,24235.93
2106805,2023,9531.74
2106904,2023,10102.97
2107001,2023,13118.05
2107100,2023,10264.76
2107209,2023,7701.32
2107258,2023,19063.46
2107308,2023,12369.38
2107357,2023,12013.65
2107407,2023,12598.62
2107456,2023,9778.41
2107506,2023,11284.69
2107605,2023,8936.31
2107704,2023,11508.27
2107803,2023,12217.38
2107902,2023,12021.73
2108009,2023,17160.52
2108058,2023,9262.69
2108108,2023,12834.92
2108207,2023,22406.76
2108256,2023,9284.32
2108306,2023,9636.50
2108405,2023,9904.56
2108454,2023,13571.72
2108504,2023,11345.69
2108603,2023,15752.59
2108702,2023,12306.70
2108801,2023,10470.22
2108900,2023,12897.08
2109007,2023,52413.93
2109056,2023,10710.35
2109106,2023,21926.09
2109205,2023,9022.35
2109239,2023,15862.11
2109270,2023,10624.35
2109304,2023,10321.75
2109403,2023,8851.76
2109452,2023,12356.79
2109502,2023,31054.46
2109551,2023,20081.03
2109601,2023,13577.52
2109700,2023,77826.91
2109759,2023,10734.08
2109809,2023,11643.19
2109908,2023,21615.44
2110005,2023,17104.34
2110039,2023,15747.06
2110104,2023,16349.22
2110203,2023,9848.68
2110237,2023,10953.69
2110278,2023,9438.49
2110302,2023,362455.53
2110401,2023,10154.34
2110500,2023,8711.05
2110609,2023,14259.34
2110658,2023,42493.64
2110708,2023,14099.18
2110807,2023,20899.87
2110856,2023,15328.33
2110906,2023,10559.41
2111003,2023,8246.12
2111029,2023,11737.61
2111052,2023,22872.04
2111078,2023,12348.80
2111102,2023,17757.21
2111201,2023,12820.31
2111250,2023,10914.13
2111300,2023,40846.09
2111409,2023,11130.03
2111508,2023,15105.92
2111532,2023,10416.97
2111573,2023,17971.32
2111607,2023,58377.97
2111631,2023,11082.44
2111672,2023,12879.95
2111706,2023,9423.28
2111722,2023,12286.11
2111748,2023,14237.70
2111763,2023,15315.72
2111789,2023,11596.98
2111805,2023,17113.22
2111904,2023,18940.16
2111953,2023,12680.92
2112001,2023,295272.88
2112100,2023,9384.38
2112209,2023,16279.06
2112233,2023,19415.11
2112274,2023,13757.12
2112308,2023,11313.54
2112407,2023,11068.66
2112456,2023,8850.13
2112506,2023,12045.75
2112605,2023,9604.74
2112704,2023,10803.06
2112803,2023,11833.36
2112852,2023,18480.53
2112902,2023,13318.18
2113009,2023,13339.39
2114007,2023,16809.82
2200053,2023,13228.09
2200103,2023,11606.34
2200202,2023,17272.65
2200251,2023,11847.35
2200277,2023,12162.15
2200301,2023,10899.42
2200400,2023,16119.40
2200459,2023,20497.64
2200509,2023,14155.37
2200608,2023,12417.16
2200707,2023,13286.92
2200806,2023,62696.38
2200905,2023,12942.71
2200954,2023,11724.87
2201002,2023,13303.84
2201051,2023,10875.60
2201101,2023,11700.46
2201150,2023,200215.82
2201176,2023,11832.45
2201200,2023,14048.62
2201309,2023,42138.94
2201408,2023,15795.87
2201507,2023,11641.69
2201556,2023,15468.75
2201572,2023,13883.53
2201606,2023,11911.09
2201705,2023,16332.93
2201739,2023,19313.04
2201770,2023,11296.52
2201804,2023,13152.78
2201903,2023,57705.04
2201919,2023,14666.17
2201929,2023,11517.94
2201945,2023,10301.58
2201960,2023,11986.39
2201988,2023,14845.30
2202000,2023,14064.64
2202026,2023,13272.71
2202059,2023,10557.84
2202075,2023,14683.77
2202083,2023,19161.91
2202091,2023,44297.15
2202109,2023,15233.16
2202117,2023,13472.82
2202133,2023,12831.10
2202174,2023,10901.91
2202208,2023,20544.67
2202251,2023,15240.82
2202307,2023,17710.90
2202406,2023,11984.82
2202455,2023,14772.10
2202505,2023,12361.23
2202539,2023,12073.98
2202554,2023,14417.59
2202604,2023,12158.93
2202653,2023,12484.71
2202703,2023,12471.02
2202711,2023,12283.53
2202729,2023,11496.10
2202737,2023,12151.73
2202752,2023,15113.64
2202778,2023,11779.10
2202802,2023,17925.48
2202851,2023,13110.13
2202901,2023,28016.04
