cod_ibge,ano,pib_per_capita
2100055,2010,9729.91
2100055,2011,10626.76
2100055,2012,12210.73
2100055,2013,14540.04
2100055,2014,16367.42
2100055,2015,18373.16
2100055,2016,18107.83
2100055,2017,19784.07
2100055,2018,23255.61
2100055,2019,20939.52
2100055,2020,23555.38
2100055,2021,33647.67
2100055,2022,38939.02
2100055,2023,40114.14
2100105,2010,2895.18
2100105,2011,3513.49
2100105,2012,3830.90
2100105,2013,4486.90
2100105,2014,5681.58
2100105,2015,5680.99
2100105,2016,5509.98
2100105,2017,6915.08
2100105,2018,7934.78
2100105,2019,7994.37
2100105,2020,10925.15
2100105,2021,12826.50
2100105,2022,19123.17
2100105,2023,17184.43
2100154,2010,2842.54
2100154,2011,3528.92
2100154,2012,3641.18
2100154,2013,4414.51
2100154,2014,4869.33
2100154,2015,5289.88
2100154,2016,5920.62
2100154,2017,5874.16
2100154,2018,6884.15
2100154,2019,6734.48
2100154,2020,7077.55
2100154,2021,7983.83
2100154,2022,9946.79
2100154,2023,10768.08
2100204,2010,2741.16
2100204,2011,3694.09
2100204,2012,6482.33
2100204,2013,4059.60
2100204,2014,4618.92
2100204,2015,4821.78
2100204,2016,5432.84
2100204,2017,5366.75
2100204,2018,5869.10
2100204,2019,5676.65
2100204,2020,5978.39
2100204,2021,6723.44
2100204,2022,8322.35
2100204,2023,9219.73
2100303,2010,3241.38
2100303,2011,3755.60
2100303,2012,4132.14
2100303,2013,4563.08
2100303,2014,6664.99
2100303,2015,8079.71
2100303,2016,6498.24
2100303,2017,6598.31
2100303,2018,6882.17
2100303,2019,7502.74
2100303,2020,7895.14
2100303,2021,9244.07
2100303,2022,15862.31
2100303,2023,14396.88
2100402,2010,2982.03
2100402,2011,3226.44
2100402,2012,3482.16
2100402,2013,3965.70
2100402,2014,4694.46
2100402,2015,5173.61
2100402,2016,6150.90
2100402,2017,6981.14
2100402,2018,6994.63
2100402,2019,7210.47
2100402,2020,7518.99
2100402,2021,8668.08
2100402,2022,12305.87
2100402,2023,13702.92
2100436,2010,3947.98
2100436,2011,4382.52
2100436,2012,5679.87
2100436,2013,6400.64
2100436,2014,7721.73
2100436,2015,7677.92
2100436,2016,8166.35
2100436,2017,8184.92
2100436,2018,10009.27
2100436,2019,9693.81
2100436,2020,8750.28
2100436,2021,10800.19
2100436,2022,14967.00
2100436,2023,15731.63
2100477,2010,3150.77
2100477,2011,3767.97
2100477,2012,4012.13
2100477,2013,4301.46
2100477,2014,4319.90
2100477,2015,4651.06
2100477,2016,5632.01
2100477,2017,5806.61
2100477,2018,5968.13
2100477,2019,6428.99
2100477,2020,7212.20
2100477,2021,7874.35
2100477,2022,10982.05
2100477,2023,12063.08
2100501,2010,12187.83
2100501,2011,14123.88
2100501,2012,19588.40
2100501,2013,22819.44
2100501,2014,26157.12
2100501,2015,28378.19
2100501,2016,16864.54
2100501,2017,26144.55
2100501,2018,31279.36
2100501,2019,30282.00
2100501,2020,43891.27
2100501,2021,51541.11
2100501,2022,70851.32
2100501,2023,51649.06
2100550,2010,3410.74
2100550,2011,3792.25
2100550,2012,4408.06
2100550,2013,4731.81
2100550,2014,5260.65
2100550,2015,5761.25
2100550,2016,7030.54
2100550,2017,7111.73
2100550,2018,7432.67
2100550,2019,7443.31
2100550,2020,7845.31
2100550,2021,9961.36
2100550,2022,10786.20
2100550,2023,13253.23
2100600,2010,3418.62
2100600,2011,3694.49
2100600,2012,4392.76
2100600,2013,4933.31
2100600,2014,5626.04
2100600,2015,6228.80
2100600,2016,7012.24
2100600,2017,6656.47
2100600,2018,7625.20
2100600,2019,7384.54
2100600,2020,8032.91
2100600,2021,9249.50
2100600,2022,11731.46
2100600,2023,13503.63
2100709,2010,3259.09
2100709,2011,3857.49
2100709,2012,4243.83
2100709,2013,4856.04
2100709,2014,5325.12
2100709,2015,5543.51
2100709,2016,6432.82
2100709,2017,6469.35
2100709,2018,6670.04
2100709,2019,6541.79
2100709,2020,6786.76
2100709,2021,7640.99
2100709,2022,9325.56
2100709,2023,10087.62
2100808,2010,5241.48
2100808,2011,6797.02
2100808,2012,5411.32
2100808,2013,7226.28
2100808,2014,8493.38
2100808,2015,7165.32
2100808,2016,8517.53
2100808,2017,8657.90
2100808,2018,8437.76
2100808,2019,7659.02
2100808,2020,8888.39
2100808,2021,9287.53
2100808,2022,12914.26
2100808,2023,13979.02
2100832,2010,2582.37
2100832,2011,3186.19
2100832,2012,3643.54
2100832,2013,4236.68
2100832,2014,4966.31
2100832,2015,5050.62
2100832,2016,5733.71
2100832,2017,5663.63
2100832,2018,6374.61
2100832,2019,6808.19
2100832,2020,7041.09
2100832,2021,7618.33
2100832,2022,8709.28
2100832,2023,9710.44
2100873,2010,2578.16
2100873,2011,3587.40
2100873,2012,3098.11
2100873,2013,3841.86
2100873,2014,4188.18
2100873,2015,4318.85
2100873,2016,5125.86
2100873,2017,5074.00
2100873,2018,5298.76
2100873,2019,5146.02
2100873,2020,5836.02
2100873,2021,6489.82
2100873,2022,10032.95
2100873,2023,11442.19
2100907,2010,3338.50
2100907,2011,3866.05
2100907,2012,3995.98
2100907,2013,4264.80
2100907,2014,4828.33
2100907,2015,5182.77
2100907,2016,5636.05
2100907,2017,5841.42
2100907,2018,5843.41
2100907,2019,5803.55
2100907,2020,5898.95
2100907,2021,6004.23
2100907,2022,7965.29
2100907,2023,8996.31
2100956,2010,3301.07
2100956,2011,4006.59
2100956,2012,4626.48
2100956,2013,5042.13
2100956,2014,5578.54
2100956,2015,5624.14
2100956,2016,6945.18
2100956,2017,6594.17
2100956,2018,7146.67
2100956,2019,7219.15
2100956,2020,7692.02
2100956,2021,8844.32
2100956,2022,11602.80
2100956,2023,12565.09
2101004,2010,3932.46
2101004,2011,5000.13
2101004,2012,5183.12
2101004,2013,5843.47
2101004,2014,6844.80
2101004,2015,7192.91
2101004,2016,8020.56
2101004,2017,7812.13
2101004,2018,8514.81
2101004,2019,8445.71
2101004,2020,9093.56
2101004,2021,10436.82
2101004,2022,12324.12
2101004,2023,14342.85
2101103,2010,2785.64
2101103,2011,3374.51
2101103,2012,3782.62
2101103,2013,4575.91
2101103,2014,4929.90
2101103,2015,5196.76
2101103,2016,5900.97
2101103,2017,5742.84
2101103,2018,6115.91
2101103,2019,6470.68
2101103,2020,6907.94
2101103,2021,7963.20
2101103,2022,9051.05
2101103,2023,10019.58
2101202,2010,6073.00
2101202,2011,6454.51
2101202,2012,7446.46
2101202,2013,8646.77
2101202,2014,10377.46
2101202,2015,9908.10
2101202,2016,10959.31
2101202,2017,10966.95
2101202,2018,11571.97
2101202,2019,11953.28
2101202,2020,12931.74
2101202,2021,14411.48
2101202,2022,16857.57
2101202,2023,18444.22
2101251,2010,11126.82
2101251,2011,19136.45
2101251,2012,18190.46
2101251,2013,16569.70
2101251,2014,23545.85
2101251,2015,16995.83
2101251,2016,20509.20
2101251,2017,19901.16
2101251,2018,18203.33
2101251,2019,14874.37
2101251,2020,20412.59
2101251,2021,34350.86
2101251,2022,26544.57
2101251,2023,27480.01
2101301,2010,2610.66
2101301,2011,3137.80
2101301,2012,3548.67
2101301,2013,4492.34
2101301,2014,4967.32
2101301,2015,4892.88
2101301,2016,5223.29
2101301,2017,5537.62
2101301,2018,5309.63
2101301,2019,5811.33
2101301,2020,5984.34
2101301,2021,6561.57
2101301,2022,8505.59
2101301,2023,9598.72
2101350,2010,2929.48
2101350,2011,4252.15
2101350,2012,4451.05
2101350,2013,4124.63
2101350,2014,4973.79
2101350,2015,5200.76
2101350,2016,6092.31
2101350,2017,6297.29
2101350,2018,6242.57
2101350,2019,6299.28
2101350,2020,6738.17
2101350,2021,6950.40
2101350,2022,8654.69
2101350,2023,9927.23
2101400,2010,17223.62
2101400,2011,18034.09
2101400,2012,23928.97
2101400,2013,28339.08
2101400,2014,32135.36
2101400,2015,28518.92
2101400,2016,25529.28
2101400,2017,32137.37
2101400,2018,37233.64
2101400,2019,36818.22
2101400,2020,49746.00
2101400,2021,65057.87
2101400,2022,78830.19
2101400,2023,73990.57
2101509,2010,4526.62
2101509,2011,5438.39
2101509,2012,6221.59
2101509,2013,7225.71
2101509,2014,9107.08
2101509,2015,10362.49
2101509,2016,12487.31
2101509,2017,11281.29
2101509,2018,11006.83
2101509,2019,10817.73
2101509,2020,11846.17
2101509,2021,14114.24
2101509,2022,15474.48
2101509,2023,16324.78
2101608,2010,3746.31
2101608,2011,4570.91
2101608,2012,5271.33
2101608,2013,5833.28
2101608,2014,6743.08
2101608,2015,6397.02
2101608,2016,6954.33
2101608,2017,7451.07
2101608,2018,8226.80
2101608,2019,8052.71
2101608,2020,8403.50
2101608,2021,10002.70
2101608,2022,12237.12
2101608,2023,13698.13
2101707,2010,3577.04
2101707,2011,4271.00
2101707,2012,4655.78
2101707,2013,5409.69
2101707,2014,6331.69
2101707,2015,6431.90
2101707,2016,7171.75
2101707,2017,7330.30
2101707,2018,7840.58
2101707,2019,7697.42
2101707,2020,7947.31
2101707,2021,9949.93
2101707,2022,11488.59
2101707,2023,12453.14
2101731,2010,3147.31
2101731,2011,5129.39
2101731,2012,4188.54
2101731,2013,3971.08
2101731,2014,4949.07
2101731,2015,4927.79
2101731,2016,5736.86
2101731,2017,6411.71
2101731,2018,6256.70
2101731,2019,6291.73
2101731,2020,7708.03
2101731,2021,8003.06
2101731,2022,10835.92
2101731,2023,11922.31
2101772,2010,3447.65
2101772,2011,3415.58
2101772,2012,3705.71
2101772,2013,4859.35
2101772,2014,5765.95
2101772,2015,5480.98
2101772,2016,6861.49
2101772,2017,7173.97
2101772,2018,7594.61
2101772,2019,7345.93
2101772,2020,7566.78
2101772,2021,9477.69
2101772,2022,10608.60
2101772,2023,11354.34
2101806,2010,3449.83
2101806,2011,3826.07
2101806,2012,3889.48
2101806,2013,4660.11
2101806,2014,5195.24
2101806,2015,6239.94
2101806,2016,6475.60
2101806,2017,7186.60
2101806,2018,7603.58
2101806,2019,7549.59
2101806,2020,10442.00
2101806,2021,12963.04
2101806,2022,17490.31
2101806,2023,17270.78
2101905,2010,2765.49
2101905,2011,3351.30
2101905,2012,3348.97
2101905,2013,3671.63
2101905,2014,4061.54
2101905,2015,4739.81
2101905,2016,5349.95
2101905,2017,5700.21
2101905,2018,6071.73
2101905,2019,5763.36
2101905,2020,6266.55
2101905,2021,6479.04
2101905,2022,8108.16
2101905,2023,8485.16
2101939,2010,4367.95
2101939,2011,5098.05
2101939,2012,5408.02
2101939,2013,6330.80
2101939,2014,7840.30
2101939,2015,7678.14
2101939,2016,8389.99
2101939,2017,8231.19
2101939,2018,8210.68
2101939,2019,8461.57
2101939,2020,8938.85
2101939,2021,17226.14
2101939,2022,18035.83
2101939,2023,47280.47
2101970,2010,3511.62
2101970,2011,3902.50
2101970,2012,4270.81
2101970,2013,4412.32
2101970,2014,5341.77
2101970,2015,6137.31
2101970,2016,6131.46
2101970,2017,6594.12
2101970,2018,6846.59
2101970,2019,6410.23
2101970,2020,7169.64
2101970,2021,7951.46
2101970,2022,10638.27
2101970,2023,12320.09
2102002,2010,4007.38
2102002,2011,4541.14
2102002,2012,4623.23
2102002,2013,5473.46
2102002,2014,5980.91
2102002,2015,6008.28
2102002,2016,6821.49
2102002,2017,7359.64
2102002,2018,7596.78
2102002,2019,7628.33
2102002,2020,8118.27
2102002,2021,9791.77
2102002,2022,15150.05
2102002,2023,17253.80
2102036,2010,4341.70
2102036,2011,5119.16
2102036,2012,5910.96
2102036,2013,6602.07
2102036,2014,7074.94
2102036,2015,7130.52
2102036,2016,7548.12
2102036,2017,7642.18
2102036,2018,8652.41
2102036,2019,8162.03
2102036,2020,9512.36
2102036,2021,10704.23
2102036,2022,14862.89
2102036,2023,15971.39
2102077,2010,3159.92
2102077,2011,3531.68
2102077,2012,3995.18
2102077,2013,4210.52
2102077,2014,4678.99
2102077,2015,5037.33
2102077,2016,5431.10
2102077,2017,5297.10
2102077,2018,5555.13
2102077,2019,5743.74
2102077,2020,6240.91
2102077,2021,7115.48
2102077,2022,10544.63
